Reading problem outline... SDP_n7_LB_F_edges16partition__objective.txt.dat-s
With scale 21
Unpickling rounded matrices
Reading problem file... SDP_n7_LB_F_edges16partition__objective.txt.dat-s
Testing of rounded starts...
100000 / 110348 rounded to 0.1371400505951917  
100001 / 110348 rounded to 0.12728609388788165 	 min so far 0.1371400505951917
100002 / 110348 rounded to 0.14885501607285648 	 min so far 0.12728609388788165
100003 / 110348 rounded to 0.11081324907134907 	 min so far 0.12728609388788165
100004 / 110348 rounded to 0.0792264190859828 	 min so far 0.11081324907134907
100005 / 110348 rounded to 0.13051699874807696 	 min so far 0.0792264190859828
100006 / 110348 rounded to 0.10949681309025225 	 min so far 0.0792264190859828
100007 / 110348 rounded to 0.14368570085177815 	 min so far 0.0792264190859828
100008 / 110348 rounded to 0.1331309108565855 	 min so far 0.0792264190859828
100009 / 110348 rounded to 0.0991801137018925 	 min so far 0.0792264190859828
100010 / 110348 rounded to 0.1601467329822906 	 min so far 0.0792264190859828
100011 / 110348 rounded to 0.21974002643039556 	 min so far 0.0792264190859828
100012 / 110348 rounded to 0.08634598850237254 	 min so far 0.0792264190859828
100013 / 110348 rounded to 0.1369852346132644 	 min so far 0.0792264190859828
100014 / 110348 rounded to 0.16251953774017464 	 min so far 0.0792264190859828
100015 / 110348 rounded to 0.16404722245464004 	 min so far 0.0792264190859828
100016 / 110348 rounded to 0.09856608109075736 	 min so far 0.0792264190859828
100017 / 110348 rounded to 0.09928846459851866 	 min so far 0.0792264190859828
100018 / 110348 rounded to 0.09361231001394954 	 min so far 0.0792264190859828
100019 / 110348 rounded to 0.11298354692615038 	 min so far 0.0792264190859828
100020 / 110348 rounded to 0.07922638753013052 	 min so far 0.0792264190859828
100021 / 110348 rounded to 0.20307304429957634 	 min so far 0.07922638753013052
100022 / 110348 rounded to 0.08614552727219763 	 min so far 0.07922638753013052
100023 / 110348 rounded to 0.15372789259696068 	 min so far 0.07922638753013052
100024 / 110348 rounded to 0.0803755178901697 	 min so far 0.07922638753013052
100025 / 110348 rounded to 0.08296786622542307 	 min so far 0.07922638753013052
100026 / 110348 rounded to 0.09440048530604252 	 min so far 0.07922638753013052
100027 / 110348 rounded to 0.15291469402934962 	 min so far 0.07922638753013052
100028 / 110348 rounded to 0.1552214477999246 	 min so far 0.07922638753013052
100029 / 110348 rounded to 0.07922639829616211 	 min so far 0.07922638753013052
100030 / 110348 rounded to 0.13195142243099178 	 min so far 0.07922638753013052
100031 / 110348 rounded to 0.08112953981331457 	 min so far 0.07922638753013052
