Reading problem outline... SDP_n6_LB_F_edges8blind__objectivee.txt.dat-s
With scale 15
Unpickling rounded matrices
Reading problem file... SDP_n6_LB_F_edges8blind__objectivee.txt.dat-s
Testing of rounded starts...
40000 / 505163 rounded to 0.027447804536986663  
40001 / 505163 rounded to 0.02216974522709542 	 min so far 0.027447804536986663
40002 / 505163 rounded to 0.022728399582267786 	 min so far 0.02216974522709542
40003 / 505163 rounded to 0.022466579009419525 	 min so far 0.02216974522709542
40004 / 505163 rounded to 0.029177090692722375 	 min so far 0.02216974522709542
40005 / 505163 rounded to 0.029993044508836306 	 min so far 0.02216974522709542
40006 / 505163 rounded to 0.027264184829771134 	 min so far 0.02216974522709542
40007 / 505163 rounded to 0.03206209465016688 	 min so far 0.02216974522709542
40008 / 505163 rounded to 0.02712190958083798 	 min so far 0.02216974522709542
40009 / 505163 rounded to 0.027122949933820938 	 min so far 0.02216974522709542
40010 / 505163 rounded to 0.02383804274045333 	 min so far 0.02216974522709542
40011 / 505163 rounded to 0.026318798838480387 	 min so far 0.02216974522709542
40012 / 505163 rounded to 0.02292814093368922 	 min so far 0.02216974522709542
40013 / 505163 rounded to 0.024425483760174244 	 min so far 0.02216974522709542
40014 / 505163 rounded to 0.02854794172042595 	 min so far 0.02216974522709542
40015 / 505163 rounded to 0.0281311879811878 	 min so far 0.02216974522709542
40016 / 505163 rounded to 0.024660019702130782 	 min so far 0.02216974522709542
40017 / 505163 rounded to 0.02901795706761179 	 min so far 0.02216974522709542
40018 / 505163 rounded to 0.023446229543040653 	 min so far 0.02216974522709542
40019 / 505163 rounded to 0.023988385289935795 	 min so far 0.02216974522709542
40020 / 505163 rounded to 0.024683331276243257 	 min so far 0.02216974522709542
40021 / 505163 rounded to 0.02520028827485432 	 min so far 0.02216974522709542
40022 / 505163 rounded to 0.02437162015939709 	 min so far 0.02216974522709542
40023 / 505163 rounded to 0.022910120547404534 	 min so far 0.02216974522709542
40024 / 505163 rounded to 0.02207829505673418 	 min so far 0.02216974522709542
